series,episode,baker,result,signature_bake,technical,show_stopper,baker_name,baker_age,baker_occupation,hometown
1,1,Annetha,IN,Light Jamaican Black Cakewith Strawberries and Cream,2,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream",Annetha Mills,30,Midwife,Essex
1,1,David,IN,Chocolate Orange Cake,3,"Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs",David Chambers,31,Entrepreneur,Milton Keynes
1,1,Edd,IN,Caramel Cinnamon and Banana Cake,1,N/A,Edd Kimber,24,Debt collector for Yorkshire Bank,Bradford
1,1,Jasminder,IN,Fresh Mango and Passion Fruit Hummingbird Cake,NA,N/A,Jasminder Randhawa,45,Assistant Credit Control Manager,Birmingham
1,1,Jonathan,IN,Carrot Cake with Lime and Cream Cheese Icing,9,Three Tiered White and Dark Chocolate with Almond and Cherry,Jonathan Shepherd,25,Research Analyst,St Albans
1,1,Lea,OUT,Cranberry and Pistachio Cakewith Orange Flower Water Icing,10,Raspberries and Cream filled Chocolatewith Chocolate-dipped Fresh Fruit,Lea Harris,51,Retired,"Midlothian, Scotland"
1,1,Louise,IN,Carrot and Orange Cake,NA,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border",Louise Brimelow,44,Police Officer,Manchester
1,1,Mark,OUT,Sticky Marmalade Tea Loaf,NA,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.,Mark Whithers,48,Bus Driver,South Wales
1,1,Miranda,IN,"Triple Layered Brownie Meringue Cake
with Raspberry Cream",8,Three Tiered Chocolate Fudge Cake  with Handmade Chocolate Button Decorations,Miranda Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex"
1,1,Ruth,IN,Three Tiered Lemon Drizzle Cakewith Fresh Cream and freshly made Lemon Curd,NA,Classic Chocolate Sponge wrapped in a Chocolate Collartopped with Handmade White and Dark Chocolate Truffles,Ruth Clemens,31,Retail manager/Housewife,"Poynton, Cheshire"
1,2,Annetha,OUT,Rose Petal Shortbread,7,Pink Swirl Macarons / Eclairs,Annetha Mills,30,Midwife,Essex
1,2,David,IN,Cheddar Cheese and Fresh Rosemary Biscuits,8,Choux Pastry Swans  Chocolate Profiteroles,David Chambers,31,Entrepreneur,Milton Keynes
1,2,Edd,IN,Oatmeal Raisin Cookie,6,Pink Macarons,Edd Kimber,24,Debt collector for Yorkshire Bank,Bradford
1,2,Jasminder,IN,Millionaires' Shortbread,2,Meringues with Chocolate and Space DustCoffee flavoured Eclairs,Jasminder Randhawa,45,Assistant Credit Control Manager,Birmingham
1,2,Jonathan,IN,Honey and Candied Ginger Cookies,1,Meringues with Whiskey Cream,Jonathan Shepherd,25,Research Analyst,St Albans
1,2,Lea,NA,NA,NA,NA,NA,NA,NA,NA
1,2,Louise,OUT,Stained Glass Window Shortbread,4,"Strawberry, Mint, and Cream Meringues  Chocolate Eclairs / Orange, Yellow and Pink Macarons",Louise Brimelow,44,Police Officer,Manchester
1,2,Mark,NA,NA,NA,NA,NA,NA,NA,NA
1,2,Miranda,IN,Fresh Vanilla Biscuits with Royal Icing,3,Pistachio Macarons,Miranda Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex"
1,2,Ruth,IN,Peanut Shortbread withSalted Peanut Caramel,5,Almond Macaron with Violet ButtercreamRaspberries and Cream Eclairs,Ruth Clemens,31,Retail manager/Housewife,"Poynton, Cheshire"
1,3,Annetha,NA,NA,NA,NA,NA,NA,NA,NA
1,3,David,IN,Chilli Bread,4,"Walnut and Seed Roll
Red Berry and Almond Bun",David Chambers,31,Entrepreneur,Milton Keynes
1,3,Edd,IN,Olive Bread,1,Tomato and Mozzarella,Edd Kimber,24,Debt collector for Yorkshire Bank,Bradford
1,3,Jasminder,IN,Focaccia,5,"Mango and Sultana Buns
Pan au Chocolat with Mars Bars
Tutti Frutti Wheel with Jelly Tots",Jasminder Randhawa,45,Assistant Credit Control Manager,Birmingham
1,3,Jonathan,OUT,"Anchovy, Sweet Paprika and Oregano Bread",6,"Sticky Lemon Honey Bun
Olive and Anchovy Roll
Sundried Tomatoes and Fresh Herbs Roll
Stilton, Walnut and Apple Roll
Cinnamon and Cardamom Chelsea Bun",Jonathan Shepherd,25,Research Analyst,St Albans
1,3,Lea,NA,NA,NA,NA,NA,NA,NA,NA
1,3,Louise,NA,NA,NA,NA,NA,NA,NA,NA
1,3,Mark,NA,NA,NA,NA,NA,NA,NA,NA
